clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
14,Jalisco,2006,3,1.2574,30.1,3060.85,3636.4,Estatal,1T20
15,Estado de México,2006,3,0.8702,30.3,2778.51,3300.41,Estatal,1T20
16,Michoacán,2006,3,1.2565,40.2,2195.52,2613.35,Estatal,1T20
17,Morelos,2006,3,0.7385,34.4,2435.07,2895.26,Estatal,1T20
18,Nayarit,2006,3,1.0632,33.8,2781.69,3314.57,Estatal,1T20
19,Nuevo León,2006,3,0.8146,16.4,4499.55,5339.6,Estatal,1T20
20,Oaxaca,2006,3,0.9936,58.4,1530.78,1825.68,Estatal,1T20
21,Puebla,2006,3,1.1047,47.4,1991.5,2369.76,Estatal,1T20
22,Querétaro,2006,3,0.8479,29.5,2928.88,3485.62,Estatal,1T20
23,Quintana Roo,2006,3,0.7101,19.7,4814.35,5716.17,Estatal,1T20
24,San Luis Potosí,2006,3,1.0189,44.8,2453.49,2920.36,Estatal,1T20
25,Sinaloa,2006,3,1.0033,25.9,3273.78,3895.55,Estatal,1T20
26,Sonora,2006,3,0.9227,25,3457.11,4107.97,Estatal,1T20
27,Tabasco,2006,3,0.8869,36.8,2779.75,3313.11,Estatal,1T20
28,Tamaulipas,2006,3,0.7805,25.8,3649.54,4332.82,Estatal,1T20
29,Tlaxcala,2006,3,0.9934,46.3,1979.54,2355.78,Estatal,1T20
30,Veracruz,2006,3,0.9257,45.9,2171.3,2587.72,Estatal,1T20
31,Yucatán,2006,3,1.2176,42.2,2633.14,3128.04,Estatal,1T20
32,Zacatecas,2006,3,0.9837,47.1,2027.1,2414.5,Estatal,1T20
1,Aguascalientes,2006,4,1.0263,31.4,2713.58,3167.16,Estatal,1T20
2,Baja California,2006,4,0.7609,15.8,4305.46,5022.06,Estatal,1T20
3,Baja California Sur,2006,4,0.7469,12.3,5202.46,6071.19,Estatal,1T20
4,Campeche,2006,4,0.937,39.1,2715.66,3168.67,Estatal,1T20
5,Coahuila,2006,4,1.0105,25.7,3275.47,3820.33,Estatal,1T20
6,Colima,2006,4,0.847,22.3,3526.95,4114.22,Estatal,1T20
7,Chiapas,2006,4,1.0105,68.7,1327.89,1551.14,Estatal,1T20
8,Chihuahua,2006,4,0.8971,22,3535.83,4125.28,Estatal,1T20
9,Ciudad de México,2006,4,0.7688,22.3,4133.35,4819.14,Estatal,1T20
10,Durango,2006,4,1.1373,39.3,2312.56,2700.01,Estatal,1T20
11,Guanajuato,2006,4,1.0897,36.2,2360.9,2756.24,Estatal,1T20
12,Guerrero,2006,4,1.0342,58.3,1663.97,1942.85,Estatal,1T20
13,Hidalgo,2006,4,1.0136,47.3,2080.49,2431.2,Estatal,1T20
14,Jalisco,2006,4,1.1494,27.5,3016.82,3519.66,Estatal,1T20
15,Estado de México,2006,4,0.9076,31.6,2638.35,3078.04,Estatal,1T20
16,Michoacán,2006,4,1.2839,41.1,2289.72,2672.8,Estatal,1T20
17,Morelos,2006,4,0.7572,35.2,2405.48,2807.4,Estatal,1T20
18,Nayarit,2006,4,0.9966,31.7,2713.21,3168.46,Estatal,1T20
19,Nuevo León,2006,4,0.758,15.3,4298.38,5012.55,Estatal,1T20
20,Oaxaca,2006,4,1.0369,60.9,1495.55,1747.43,Estatal,1T20
21,Puebla,2006,4,1.1316,48.5,1978.78,2309.71,Estatal,1T20
22,Querétaro,2006,4,0.9108,31.7,2960.22,3455.69,Estatal,1T20
23,Quintana Roo,2006,4,0.7744,21.5,4442.9,5182.25,Estatal,1T20
24,San Luis Potosí,2006,4,1.0548,46.4,2322.11,2710.5,Estatal,1T20
25,Sinaloa,2006,4,0.9463,24.4,3267.74,3814.82,Estatal,1T20
26,Sonora,2006,4,0.8381,22.7,3591.25,4189.96,Estatal,1T20
27,Tabasco,2006,4,0.8781,36.4,2766.5,3231.88,Estatal,1T20
28,Tamaulipas,2006,4,0.8084,26.7,3921.33,4573.45,Estatal,1T20
29,Tlaxcala,2006,4,0.9854,46,1887.84,2204.24,Estatal,1T20
30,Veracruz,2006,4,0.9927,49.2,2121.25,2477.32,Estatal,1T20
31,Yucatán,2006,4,1.1722,40.6,2482.32,2895.83,Estatal,1T20
32,Zacatecas,2006,4,0.9622,46,2101.49,2454.35,Estatal,1T20
1,Aguascalientes,2007,1,1.0771,33,2703.6,3133.5,Estatal,1T20
2,Baja California,2007,1,0.7088,14.7,4261.11,4935.38,Estatal,1T20
3,Baja California Sur,2007,1,0.8662,14.3,4781.92,5541.28,Estatal,1T20
4,Campeche,2007,1,0.9373,39.1,2735.48,3169.41,Estatal,1T20
5,Coahuila,2007,1,1.0196,25.9,3450.78,3996.68,Estatal,1T20
6,Colima,2007,1,0.8948,23.5,3411.13,3951.33,Estatal,1T20
7,Chiapas,2007,1,1.0218,69.4,1404.4,1629.44,Estatal,1T20
8,Chihuahua,2007,1,0.8922,21.9,3552.56,4115.63,Estatal,1T20
9,Ciudad de México,2007,1,0.7369,21.4,4346.34,5031.93,Estatal,1T20
10,Durango,2007,1,1.1664,40.3,2242.04,2599.34,Estatal,1T20
11,Guanajuato,2007,1,1.1478,38.2,2381.91,2761.78,Estatal,1T20
12,Guerrero,2007,1,1.0388,58.5,1671,1938.18,Estatal,1T20
13,Hidalgo,2007,1,1.006,47,2096.18,2433.27,Estatal,1T20
14,Jalisco,2007,1,1.1086,26.5,3035.85,3517.17,Estatal,1T20
